"progress","duration","qualtrics_id","id","doi","d_filter","d_synth","c_filter","comments","cr-1","cr-1-1	","cr-1-2","cr-3","cr-3-text","cr-4","cr-4-text","cr-f-1","cr-f-2","cr-f-1-1","cr-a-1","cr-a-2","cr-i-1","cr-i-2","cr-i-3","cr-i-4","cr-r-1","cr-r-2","cr-r-3","cr-r-1-1","dr-1","dr-1-1","dr-1-2","dr-1-2-1","dr-2","dr-2-1","dr-f-1","dr-f-2","dr-f-3","dr-f-1-1","dr-a-1","dr-a-2","dr-i-1","dr-i-2","dr-r-1","dr-r-2","dr-r-3","dr-r-1-1"
"100","646","R_7LCLUo1h5LJ0exf","9","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2343763","Yes","Yes","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.25572015","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.25572015","Yes","Yes","Yes","Yes","Yes","Unclear","Unclear","Yes","Yes","","Yes","https://doi.org/10.6084/m9.figshare.25572015","","","No","","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.25572015","Yes","Unclear","Unclear","Unclear","Yes","Yes","Yes","CC BY 4.0"
"100","503","R_1CxIQ5GqE98ipYN","10","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2395953","Yes","Yes","Yes","","Yes","Both Figshare and GitHub","https://doi.org/10.6084/m9.figshare.24271774.","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.24271774.","Yes","Yes","Yes","Yes","Unclear","Unclear","Yes","Yes","Yes","not specified ","Yes","https://doi.org/10.6084/m9.figshare.24271774","","","No","","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.24271774","Yes","Unclear","Unclear","Unclear","No","Unclear","Unclear",""
"100","526","R_3jkVg1Hr2XuIBnY","11","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2397441","Yes","Yes","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.25215788.v1","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.25215788.v1","Yes","Yes","Yes","Yes","Unclear","No","Yes","Yes","Unclear","CC BY 4.0","Yes","https://doi.org/10.6084/m9.figshare.25215788.v1","","","No","","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.25215788.v1","Yes","Unclear","Unclear","No","Yes","Yes","No","not specified "
"100","279","R_6mXhTVfiKYebgmb","12","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2394228","Yes","Yes","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.23647590.v1","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.23647590.v1","Yes","Yes","Yes","Unclear","Unclear","No","Unclear","Yes","Yes","","Yes","https://doi.org/10.6084/m9.figshare.23647590.v1","","","No","","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.23647590.v1","Yes","Unclear","Unclear","Unclear","Yes","Yes","No","CC BY 4.0"
"100","566","R_7Ds2RVy4JsHK1vb","13","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2391981","Yes","Yes","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.25557009.v1","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.25557009.v1","Yes","Yes","Yes","Yes","Unclear","Unclear","Unclear","Yes","Yes","","Yes","https://doi.org/10.6084/m9.figshare.25557009.v1","","","No","","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.25557009.v1","Yes","Unclear","Unclear","Unclear","Yes","Yes","No","not specified"
"100","318","R_72LUX8ay7GTyQaZ","14","https://ucsb.co1.qualtrics.com/jfe/form/SV_9z38cOrjn381KPc","Yes","Yes","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.26527441","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.26527441","Yes","Yes","Yes","Yes","Unclear","No","Unclear","Yes","Yes","","Yes","https://doi.org/10.6084/m9.figshare.26527441","","","No","","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.26527441","Yes","Unclear","Unclear","Unclear","Yes","Yes","No","not specified"
"100","209","R_3GgxJ06SghqiBgJ","15","https://ucsb.co1.qualtrics.com/jfe/form/SV_9z38cOrjn381KPc","Yes","Yes","Yes","","Yes","Figshare","https://doi.org/10.6084/m9.figshare.25308919.v2","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.25308919.v2","Yes","Yes","Yes","Yes","Yes","Unclear","Yes","Yes","Yes","ATRI","Yes","https://doi.org/10.6084/m9.figshare.25308919.v2","","","No","","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.25308919.v2","Yes","Unclear","Unclear","Unclear","Yes","Yes","Yes","ATRI"
"100","1219","R_3hs8bmiBpJQDLSD","20","sadf","No","No","Yes","","Yes","sdf","sdf","","","","","Yes","No","sdfasd","No","No","Yes","Yes","Yes","Yes","Yes","No","No","sadfasdf","","","","","","","","","","","","","","","","","",""
"100","1841","R_3sBNR8Ellk3KCuG","16","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2391409","Yes","Yes","Yes","","Partial, some code cannot be accessed","gifshare","https://figshare.com/articles/journal_contribution/GAN_for_hill-shading_zip/24912435?file=44908204","Other, please specify","Note that the manual shading data is not available for free.","Unclear, specify why","Only simple steps are described. ","Yes","Yes","https://doi.org/10.6084/m9.figshare.24912435","Yes","Yes","Unclear","No","No","No","No","No","Unclear","","Partial, some data cannot be accessed","https://doi.org/10.6084/m9.figshare.24912435","Other, please specify","Note that the manual shading data is not available for free.","Yes","https://doi.org/10.6084/m9.figshare.24912435","Yes","Yes","Yes","https://doi.org/10.6084/m9.figshare.24912435","Yes","Unclear","Yes","Unclear","No","No","No",""
"100","938","R_3GnHxXYuYfPMgTL","17","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2387198","Yes","Yes","Yes","## Description of data

The raw GPS trajectory data cannot be shared publicly due to the confidentiality of the data. The POIs can be obtained from the Amap platform.
The multi-scale road network maps cannot be shared publicly but you applied to obtain them from National Map Agency. 
","Partial, some code cannot be accessed","figshare","https://doi.org/10.6084/m9.figshare.23654001","Unethical due to privacy concerns","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.23654001","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unclear","","Yes","https://doi.org/10.6084/m9.figshare.23654001","","","No","","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.23654001","Yes","No","Unclear","Unclear","No","Yes","Yes",""
"100","827","R_3EmR4vrwj0G61Ux","18","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2386064","Yes","Yes","Yes","The paper shared a video which could be helpful for reproduce. However, there are a lot of steps which requires professional training on manipulating the dataset. ","Yes","figshare","https://doi.org/10.6084/m9.figshare.25379368","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.25379368","Yes","Yes","Unclear","Unclear","Yes","No","Unclear","Yes","Yes","","Yes","https://doi.org/10.6084/m9.figshare.25379368","","","Yes","https://doi.org/10.6084/m9.figshare.25379368","Yes","Yes","Yes","https://doi.org/10.6084/m9.figshare.25379368","Yes","Unclear","Yes","Unclear","Unclear","Yes","No",""
"100","367","R_3qqSVywyWLZ20X1","19","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2385435","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.24760761","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.24760761","Yes","Yes","No","No","No","No","Unclear","Yes","Unclear","","Yes","https://doi.org/10.6084/m9.figshare.24760761","","","No","","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.24760761","Yes","No","No","No","Yes","Yes","No","unclear"
"100","313","R_3JqBLyS3SYbtZq9","20","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2381146","Yes","Yes","Yes","","Yes"," https://doi.org/10.6084/m9.figshare.25730817.v1"," https://doi.org/10.6084/m9.figshare.25730817.v1","","","Yes","","Yes","Yes"," https://doi.org/10.6084/m9.figshare.25730817.v1","Yes","Yes","No","No","Unclear","No","No","Yes","Unclear","","Yes"," https://doi.org/10.6084/m9.figshare.25730817.v1","","","No","","Yes","Yes","No"," https://doi.org/10.6084/m9.figshare.25730817.v1","Yes","No","Unclear","Unclear","Unclear","Yes","No",""
"100","299","R_3P6QI6V8A5fBVHc","21","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2379468#d1e2106","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/dataset/LULC_review_paper_data_and_code/24619077?file=45787572","","","Unclear, specify why","This is a review paper","Yes","Yes","https://figshare.com/articles/dataset/LULC_review_paper_data_and_code/24619077?file=45787572","Yes","Yes","No","No","Unclear","No","No","Yes","Unclear","","Yes","https://figshare.com/articles/dataset/LULC_review_paper_data_and_code/24619077?file=45787572","","","Yes","https://figshare.com/articles/dataset/LULC_review_paper_data_and_code/24619077?file=45787572","Yes","Yes","Yes","https://figshare.com/articles/dataset/LULC_review_paper_data_and_code/24619077?file=45787572","Yes","Yes","Yes","Unclear","Unclear","Yes","No",""
"100","909","R_3xFwgCDXAhKq2ih","22","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2375732","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.21895941.v2","","","Yes","","Yes","No","https://doi.org/10.6084/m9.figshare.21895941.v2","Yes","Yes","No","No","No","No","No","Yes","Yes","","Yes","https://doi.org/10.6084/m9.figshare.21895941.v2","","","No","","Yes","No","No","https://doi.org/10.6084/m9.figshare.21895941.v2","Yes","No","Unclear","No","Unclear","Yes","No",""
"100","322","R_3EhSxzGdhGVxfh7","24","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2372779","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.24321121.v1","","","Yes","","Yes","No","https://doi.org/10.6084/m9.figshare.24321121.v1","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","","Yes","https://doi.org/10.6084/m9.figshare.24321121.v1","","","Yes","https://doi.org/10.6084/m9.figshare.24321121.v1","Yes","No","Unclear","https://doi.org/10.6084/m9.figshare.24321121.v1","Yes","No","Yes","Unclear","No","Yes","No",""
"100","340","R_3eX2ua7fuljg1q1","25","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2372783","Yes","Yes","Yes","","Partial, some code cannot be accessed","figshare","https://doi.org/10.6084/m9.figshare.24798189","Unethical due to privacy concerns","","No","","Yes","No","https://doi.org/10.6084/m9.figshare.24798189","Yes","Yes","No","No","No","No","No","Yes","No","","Partial, some data cannot be accessed","https://doi.org/10.6084/m9.figshare.24798189","Unethical due to privacy concerns","","No","","No","No","No","","No","No","No","No","No","No","No",""
"100","426","R_3HUETOV6sUEFH75","26","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2370076","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.25447177.v2","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.25447177.v2","Yes","Yes","Unclear","No","Yes","No","Unclear","Yes","Yes","","Yes","https://doi.org/10.6084/m9.figshare.25447177.v2","","","Yes","https://doi.org/10.6084/m9.figshare.25447177.v2","Yes","Unclear","Unclear","https://doi.org/10.6084/m9.figshare.25447177.v2","Yes","Unclear","Yes","Yes","No","Yes","Unclear",""
"100","635","R_3rBgBgn66uzj7ad","27","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2369540","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/dataset/Spatiotemporal_mobility_network_of_global_scientists/24720729","","","Unclear, specify why","Unclear steps. ","Yes","No","https://figshare.com/articles/dataset/Spatiotemporal_mobility_network_of_global_scientists/24720729","Yes","Yes","No","No","No","No","No","Yes","Unclear","","Yes","https://figshare.com/articles/dataset/Spatiotemporal_mobility_network_of_global_scientists/24720729","","","Yes","https://figshare.com/articles/dataset/Spatiotemporal_mobility_network_of_global_scientists/24720729","Yes","Unclear","Unclear","https://figshare.com/articles/dataset/Spatiotemporal_mobility_network_of_global_scientists/24720729","Yes","Yes","Yes","Unclear","Unclear","Yes","Unclear",""
"100","364","R_3SddyUryfsGM8AV","28","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2369535#ack","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/software/Reasoning_cartographic_knowledge_in_deep_learning-based_map_generalization_with_explainable_AI/24948057/1?file=43921488","","","Unclear, specify why","Not enough description. ","Yes","No","https://figshare.com/articles/software/Reasoning_cartographic_knowledge_in_deep_learning-based_map_generalization_with_explainable_AI/24948057/1?file=43921488","Yes","Yes","No","No","No","No","No","Yes","Unclear","","Yes","https://figshare.com/articles/software/Reasoning_cartographic_knowledge_in_deep_learning-based_map_generalization_with_explainable_AI/24948057/1?file=43921488","","","Yes","https://figshare.com/articles/software/Reasoning_cartographic_knowledge_in_deep_learning-based_map_generalization_with_explainable_AI/24948057/1?file=43921488","Yes","Yes","No","https://figshare.com/articles/software/Reasoning_cartographic_knowledge_in_deep_learning-based_map_generalization_with_explainable_AI/24948057/1?file=43921488","Yes","Unclear","Yes","No","No","Yes","No",""
"100","1239","R_3SCtc49esPOMUUk","29","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2361274","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.23531610","","","Unclear, specify why","not enough descriptions","Yes","Unclear","https://doi.org/10.6084/m9.figshare.23531610","Yes","Yes","No","No","No","","No","Yes","Unclear","","Yes","https://doi.org/10.6084/m9.figshare.23531610","","","Yes","https://doi.org/10.6084/m9.figshare.23531610","Yes","Yes","No","https://doi.org/10.6084/m9.figshare.23531610","Yes","Unclear","Yes","No","No","Yes","No",""
"100","275","R_34of0K1hIMHsckW","30","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2358527","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.22785503","","","Yes","","Yes","No","https://doi.org/10.6084/m9.figshare.22785503","Yes","Yes","Yes","No","No","No","No","Yes","Unclear","","Yes","https://doi.org/10.6084/m9.figshare.22785503","","","Yes","https://doi.org/10.6084/m9.figshare.22785503","Yes","No","No","https://doi.org/10.6084/m9.figshare.22785503","Yes","No","Yes","No","No","Yes","No",""
"100","1392","R_3G3BHl8ksptoIY7","31","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2355326","Yes","Yes","Yes","","Yes","DOI","https://osf.io/sur6q/","","","Yes","","Yes","Yes","https://osf.io/sur6q/","Yes","Yes","Yes","Yes","Yes","Unclear","Unclear","Yes","Yes","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2355326","","","Yes","https://osf.io/sur6q/","Yes","Yes","Yes","https://osf.io/sur6q/","Yes","Yes","Yes","Yes","Unclear","Yes","Yes",""
"100","1844","R_3NFd8fvMQ4F7byx","32","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2353695","Yes","Yes","Yes","","Yes","figshare","https://figshare.com/articles/dataset/A_movement-aware_trajectory_similarity_measure_and_its_application_for_ride-sharing_path_extraction_in_road_network/25712415?file=45968355","","","Unclear, specify why","not enough description","Yes","No","https://figshare.com/articles/dataset/A_movement-aware_trajectory_similarity_measure_and_its_application_for_ride-sharing_path_extraction_in_road_network/25712415?file=45968355","Yes","Yes","No","No","No","No","No","Yes","No","","Yes"," https://doi.org/10.6084/m9.figshare.25712415","","","Yes"," https://doi.org/10.6084/m9.figshare.25712415","Yes","No","Unclear","https://figshare.com/articles/dataset/A_movement-aware_trajectory_similarity_measure_and_its_application_for_ride-sharing_path_extraction_in_road_network/25712415?file=45968355","Yes","No","Yes","No","No","Yes","No",""
"100","1182","R_33gBYRrN4km1eJs","33","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2354826","Yes","Yes","Yes","","Yes","figshare","https://figshare.unimelb.edu.au/articles/dataset/Codes_and_data_for_place_hierarchies/20448231","","","Unclear, specify why","Not enough description of the steps. ","Yes","No","https://figshare.unimelb.edu.au/articles/dataset/Codes_and_data_for_place_hierarchies/20448231","Yes","Yes","Yes","Yes","Unclear","No","No","Yes","Unclear","","Yes","https://figshare.unimelb.edu.au/articles/dataset/Codes_and_data_for_place_hierarchies/20448231","","","Yes","https://figshare.unimelb.edu.au/articles/dataset/Codes_and_data_for_place_hierarchies/20448231","Yes","No","No","https://figshare.unimelb.edu.au/articles/dataset/Codes_and_data_for_place_hierarchies/20448231","Yes","No","Yes","No","No","Yes","No",""
"100","285","R_3XiHa9OcVk9WsGZ","34","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2358399","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.24664647","","","Yes","","Yes","No","https://doi.org/10.6084/m9.figshare.24664647","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unclear","","Yes","https://doi.org/10.6084/m9.figshare.24664647","","","Yes","https://doi.org/10.6084/m9.figshare.24664647","Yes","Yes","Yes","https://doi.org/10.6084/m9.figshare.24664647","Yes","Yes","Yes","Yes","No","Yes","Yes",""
"100","337","R_3Ojoa4GdutOka2e","35","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2354822","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.24623733","","","Unclear, specify why","Only key codes are presented.","Yes","No","https://doi.org/10.6084/m9.figshare.24623733","Yes","Yes","Yes","No","No","No","No","Yes","Unclear","","Yes","https://doi.org/10.6084/m9.figshare.24623733","","","Yes","https://doi.org/10.6084/m9.figshare.24623733","Yes","No","No","https://doi.org/10.6084/m9.figshare.24623733","Yes","No","Yes","No","No","Yes","No",""
"100","318","R_3Fy2H2jHux07YyO","36","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2358052","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.23947284.v2","","","Unclear, specify why","Not enough instructions. ","Yes","No","https://doi.org/10.6084/m9.figshare.23947284.v2","Yes","Yes","Yes","No","No","No","No","Yes","Unclear","","Yes","https://doi.org/10.6084/m9.figshare.23947284.v2","","","Yes","https://doi.org/10.6084/m9.figshare.23947284.v2","Yes","No","Yes","https://doi.org/10.6084/m9.figshare.23947284.v2","Yes","No","Yes","No","No","Yes","No",""
"100","639","R_3riSC0rlCi3r7Jl","37","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2358405","Yes","Yes","Yes","","Yes","figshare","https://doi.org/10.6084/m9.figshare.25037462","","","Unclear, specify why","Only key codes are presented.","Yes","No","https://doi.org/10.6084/m9.figshare.25037462","Yes","Yes","Yes","No","No","No","No","Yes","Unclear","","Yes","https://doi.org/10.6084/m9.figshare.25037462","","","Yes","https://doi.org/10.6084/m9.figshare.25037462","Yes","No","Unclear","https://doi.org/10.6084/m9.figshare.25037462","Yes","No","Yes","No","No","Yes","No",""
