"Variable","Response","Count","Percent_of_Valid","Percent_of_Total","N_Valid","N_Missing","Percent_Missing"
"cr.1.1","GitHub",3,8.3,7.5,36,4,10
"cr.1.1","Missing/NA",4,NA,10,36,4,10
"cr.4","No",2,9.5,5,21,19,47.5
"cr.4","Unclear, specify why",9,42.9,22.5,21,19,47.5
"cr.4","Yes",9,42.9,22.5,21,19,47.5
"cr.4","Yes,Unclear, specify why",1,4.8,2.5,21,19,47.5
"cr.4","Missing/NA",19,NA,47.5,21,19,47.5
"cr.f.1","No",4,11.1,10,36,4,10
"cr.f.1","Yes",32,88.9,80,36,4,10
"cr.f.1","Missing/NA",4,NA,10,36,4,10
"cr.f.2","No",1,2.8,2.5,36,4,10
"cr.f.2","Unclear",1,2.8,2.5,36,4,10
"cr.f.2","Yes",34,94.4,85,36,4,10
"cr.f.2","Missing/NA",4,NA,10,36,4,10
"cr.a.1","Unclear",1,2.9,2.5,34,6,15
"cr.a.1","Yes",33,97.1,82.5,34,6,15
"cr.a.1","Missing/NA",6,NA,15,34,6,15
"cr.a.2","No",1,2.9,2.5,35,5,12.5
"cr.a.2","Unclear",3,8.6,7.5,35,5,12.5
"cr.a.2","Yes",31,88.6,77.5,35,5,12.5
"cr.a.2","Missing/NA",5,NA,12.5,35,5,12.5
"cr.i.1","No",1,2.9,2.5,34,6,15
"cr.i.1","Unclear",1,2.9,2.5,34,6,15
"cr.i.1","Yes",32,94.1,80,34,6,15
"cr.i.1","Missing/NA",6,NA,15,34,6,15
"cr.i.2","No",12,35.3,30,34,6,15
"cr.i.2","Unclear",1,2.9,2.5,34,6,15
"cr.i.2","Yes",21,61.8,52.5,34,6,15
"cr.i.2","Missing/NA",6,NA,15,34,6,15
"cr.i.3","No",19,52.8,47.5,36,4,10
"cr.i.3","Unclear",3,8.3,7.5,36,4,10
"cr.i.3","Yes",14,38.9,35,36,4,10
"cr.i.3","Missing/NA",4,NA,10,36,4,10
"cr.i.4","No",35,97.2,87.5,36,4,10
"cr.i.4","Unclear",1,2.8,2.5,36,4,10
"cr.i.4","Missing/NA",4,NA,10,36,4,10
"cr.r.1","No",3,7.9,7.5,38,2,5
"cr.r.1","Unclear",3,7.9,7.5,38,2,5
"cr.r.1","Yes",32,84.2,80,38,2,5
"cr.r.1","Missing/NA",2,NA,5,38,2,5
"cr.r.2","No",2,5.6,5,36,4,10
"cr.r.2","Unclear",1,2.8,2.5,36,4,10
"cr.r.2","Yes",33,91.7,82.5,36,4,10
"cr.r.2","Missing/NA",4,NA,10,36,4,10
"cr.r.3","No",4,14.3,10,28,12,30
"cr.r.3","Unclear",6,21.4,15,28,12,30
"cr.r.3","Yes",18,64.3,45,28,12,30
"cr.r.3","Missing/NA",12,NA,30,28,12,30
"cr.r.1.1","CC By 4.0",1,2.6,2.5,38,2,5
"cr.r.1.1","CC BY 4.0",26,68.4,65,38,2,5
"cr.r.1.1","CC0",3,7.9,7.5,38,2,5
"cr.r.1.1","GNU General Public License v3.0",1,2.6,2.5,38,2,5
"cr.r.1.1","MIT",1,2.6,2.5,38,2,5
"cr.r.1.1","Not Specified",6,15.8,15,38,2,5
"cr.r.1.1","Missing/NA",2,NA,5,38,2,5
"dr.1","No",4,10,10,40,0,0
"dr.1","Partial, some data cannot be accessed",6,15,15,40,0,0
"dr.1","Yes",30,75,75,40,0,0
"dr.1.2","Limited by data contract",3,30,7.5,10,30,75
"dr.1.2","No reason was provided",2,20,5,10,30,75
"dr.1.2","Other, please specify",3,30,7.5,10,30,75
"dr.1.2","Unethical due to privacy concerns",2,20,5,10,30,75
"dr.1.2","Missing/NA",30,NA,75,10,30,75
"dr.2","No",29,72.5,72.5,40,0,0
"dr.2","Yes",11,27.5,27.5,40,0,0
"dr.f.1","No",4,11.4,10,35,5,12.5
"dr.f.1","Unclear",2,5.7,5,35,5,12.5
"dr.f.1","Yes",29,82.9,72.5,35,5,12.5
"dr.f.1","Missing/NA",5,NA,12.5,35,5,12.5
"dr.f.2","No",2,5.7,5,35,5,12.5
"dr.f.2","Unclear",2,5.7,5,35,5,12.5
"dr.f.2","Yes",31,88.6,77.5,35,5,12.5
"dr.f.2","Missing/NA",5,NA,12.5,35,5,12.5
"dr.f.3","No",3,30,7.5,10,30,75
"dr.f.3","Unclear",1,10,2.5,10,30,75
"dr.f.3","Yes",6,60,15,10,30,75
"dr.f.3","Missing/NA",30,NA,75,10,30,75
"dr.a.1","Yes",11,100,27.5,11,29,72.5
"dr.a.1","Missing/NA",29,NA,72.5,11,29,72.5
"dr.a.2","No",4,30.8,10,13,27,67.5
"dr.a.2","Unclear",7,53.8,17.5,13,27,67.5
"dr.a.2","Yes",2,15.4,5,13,27,67.5
"dr.a.2","Missing/NA",27,NA,67.5,13,27,67.5
"dr.i.1","No",4,40,10,10,30,75
"dr.i.1","Yes",6,60,15,10,30,75
"dr.i.1","Missing/NA",30,NA,75,10,30,75
"dr.i.2","No",5,50,12.5,10,30,75
"dr.i.2","Yes",5,50,12.5,10,30,75
"dr.i.2","Missing/NA",30,NA,75,10,30,75
"dr.r.1","No",13,37.1,32.5,35,5,12.5
"dr.r.1","Unclear",8,22.9,20,35,5,12.5
"dr.r.1","Yes",14,40,35,35,5,12.5
"dr.r.1","Missing/NA",5,NA,12.5,35,5,12.5
"dr.r.2","No",11,31.4,27.5,35,5,12.5
"dr.r.2","Unclear",3,8.6,7.5,35,5,12.5
"dr.r.2","Yes",21,60,52.5,35,5,12.5
"dr.r.2","Missing/NA",5,NA,12.5,35,5,12.5
"dr.r.3","No",20,57.1,50,35,5,12.5
"dr.r.3","Unclear",6,17.1,15,35,5,12.5
"dr.r.3","Yes",9,25.7,22.5,35,5,12.5
"dr.r.3","Missing/NA",5,NA,12.5,35,5,12.5
"pre.post","post-policy",40,100,100,40,0,0
"year_after_policy","1",40,100,100,40,0,0
"reproducibility_rating","0",10,25,25,40,0,0
"reproducibility_rating","1",20,50,50,40,0,0
"reproducibility_rating","2",5,12.5,12.5,40,0,0
"reproducibility_rating","4",5,12.5,12.5,40,0,0
