"Variable","Response","Count","Percent_of_Valid","Percent_of_Total","N_Valid","N_Missing","Percent_Missing"
"cr.f.2","Missing/NA",24,NA,6.8,327,24,6.8
"cr.a.1","No",4,1.2,1.1,324,27,7.7
"cr.a.1","Unclear",6,1.9,1.7,324,27,7.7
"cr.a.1","Yes",314,96.9,89.5,324,27,7.7
"cr.a.1","Missing/NA",27,NA,7.7,324,27,7.7
"cr.a.2","No",9,2.8,2.6,326,25,7.1
"cr.a.2","Unclear",5,1.5,1.4,326,25,7.1
"cr.a.2","Yes",312,95.7,88.9,326,25,7.1
"cr.a.2","Missing/NA",25,NA,7.1,326,25,7.1
"cr.i.1","No",22,6.9,6.3,321,30,8.5
"cr.i.1","Unclear",12,3.7,3.4,321,30,8.5
"cr.i.1","Yes",287,89.4,81.8,321,30,8.5
"cr.i.1","Missing/NA",30,NA,8.5,321,30,8.5
"cr.i.2","No",83,25.9,23.6,320,31,8.8
"cr.i.2","Unclear",19,5.9,5.4,320,31,8.8
"cr.i.2","Yes",218,68.1,62.1,320,31,8.8
"cr.i.2","Missing/NA",31,NA,8.8,320,31,8.8
"cr.i.3","No",153,47.1,43.6,325,26,7.4
"cr.i.3","Unclear",47,14.5,13.4,325,26,7.4
"cr.i.3","Yes",125,38.5,35.6,325,26,7.4
"cr.i.3","Missing/NA",26,NA,7.4,325,26,7.4
"cr.i.4","No",312,96.3,88.9,324,27,7.7
"cr.i.4","Unclear",10,3.1,2.8,324,27,7.7
"cr.i.4","Yes",2,0.6,0.6,324,27,7.7
"cr.i.4","Missing/NA",27,NA,7.7,324,27,7.7
"cr.r.1","No",161,49.5,45.9,325,26,7.4
"cr.r.1","Unclear",64,19.7,18.2,325,26,7.4
"cr.r.1","Yes",100,30.8,28.5,325,26,7.4
"cr.r.1","Missing/NA",26,NA,7.4,325,26,7.4
"cr.r.2","No",11,3.4,3.1,326,25,7.1
"cr.r.2","Unclear",19,5.8,5.4,326,25,7.1
"cr.r.2","Yes",296,90.8,84.3,326,25,7.1
"cr.r.2","Missing/NA",25,NA,7.1,326,25,7.1
"cr.r.3","No",59,18.7,16.8,316,35,10
"cr.r.3","Unclear",176,55.7,50.1,316,35,10
"cr.r.3","Yes",81,25.6,23.1,316,35,10
"cr.r.3","Missing/NA",35,NA,10,316,35,10
"cr.r.1.1","Apache 2.0",3,0.9,0.9,346,5,1.4
"cr.r.1.1","BSD 2Clause License",1,0.3,0.3,346,5,1.4
"cr.r.1.1","BSD 3 Clause ""NEW"" OR "" REVISED License",1,0.3,0.3,346,5,1.4
"cr.r.1.1","CC By 4.0",1,0.3,0.3,346,5,1.4
"cr.r.1.1","CC BY 4.0",231,66.8,65.8,346,5,1.4
"cr.r.1.1","CC0",12,3.5,3.4,346,5,1.4
"cr.r.1.1","GNU General Public License v3.0",17,4.9,4.8,346,5,1.4
"cr.r.1.1","MIT",22,6.4,6.3,346,5,1.4
"cr.r.1.1","Not Specified",53,15.3,15.1,346,5,1.4
"cr.r.1.1","Not Specified ",5,1.4,1.4,346,5,1.4
"cr.r.1.1","Missing/NA",5,NA,1.4,346,5,1.4
"dr.1","No",22,6.3,6.3,349,2,0.6
"dr.1","Partial, some data cannot be accessed",21,6,6,349,2,0.6
"dr.1","Yes",306,87.7,87.2,349,2,0.6
"dr.1","Missing/NA",2,NA,0.6,349,2,0.6
"dr.1.2","Limited by data contract",7,16.3,2,43,308,87.7
"dr.1.2","No reason was provided",6,14,1.7,43,308,87.7
"dr.1.2","No reason was provided,Other, please specify",1,2.3,0.3,43,308,87.7
"dr.1.2","Other, please specify",17,39.5,4.8,43,308,87.7
"dr.1.2","Unethical due to privacy concerns",9,20.9,2.6,43,308,87.7
"dr.1.2","Unethical due to privacy concerns,Other, please specify",2,4.7,0.6,43,308,87.7
"dr.1.2","Unethical due to privacy concerns,Unethical due to security concerns",1,2.3,0.3,43,308,87.7
"dr.1.2","Missing/NA",308,NA,87.7,43,308,87.7
"dr.2","No",206,59,58.7,349,2,0.6
"dr.2","Yes",143,41,40.7,349,2,0.6
"dr.2","Missing/NA",2,NA,0.6,349,2,0.6
"dr.f.1","No",12,3.7,3.4,326,25,7.1
"dr.f.1","Unclear",10,3.1,2.8,326,25,7.1
"dr.f.1","Yes",304,93.3,86.6,326,25,7.1
"dr.f.1","Missing/NA",25,NA,7.1,326,25,7.1
"dr.f.2","No",62,19,17.7,326,25,7.1
"dr.f.2","Unclear",9,2.8,2.6,326,25,7.1
"dr.f.2","Yes",255,78.2,72.6,326,25,7.1
"dr.f.2","Missing/NA",25,NA,7.1,326,25,7.1
"dr.f.3","No",33,23.4,9.4,141,210,59.8
"dr.f.3","Unclear",15,10.6,4.3,141,210,59.8
"dr.f.3","Yes",93,66,26.5,141,210,59.8
"dr.f.3","Missing/NA",210,NA,59.8,141,210,59.8
"dr.a.1","Unclear",2,1.4,0.6,142,209,59.5
"dr.a.1","Yes",140,98.6,39.9,142,209,59.5
"dr.a.1","Missing/NA",209,NA,59.5,142,209,59.5
"dr.a.2","No",197,69.6,56.1,283,68,19.4
"dr.a.2","Unclear",66,23.3,18.8,283,68,19.4
"dr.a.2","Yes",20,7.1,5.7,283,68,19.4
"dr.a.2","Missing/NA",68,NA,19.4,283,68,19.4
"dr.i.1","No",14,9.9,4,141,210,59.8
"dr.i.1","Yes",127,90.1,36.2,141,210,59.8
"dr.i.1","Missing/NA",210,NA,59.8,141,210,59.8
"dr.i.2","No",40,28.4,11.4,141,210,59.8
"dr.i.2","Unclear",15,10.6,4.3,141,210,59.8
"dr.i.2","Yes",86,61,24.5,141,210,59.8
"dr.i.2","Missing/NA",210,NA,59.8,141,210,59.8
"dr.r.1","No",209,64.3,59.5,325,26,7.4
"dr.r.1","Unclear",62,19.1,17.7,325,26,7.4
"dr.r.1","Yes",54,16.6,15.4,325,26,7.4
"dr.r.1","Missing/NA",26,NA,7.4,325,26,7.4
"dr.r.2","No",41,12.7,11.7,324,27,7.7
"dr.r.2","Unclear",13,4,3.7,324,27,7.7
"dr.r.2","Yes",270,83.3,76.9,324,27,7.7
"dr.r.2","Missing/NA",27,NA,7.7,324,27,7.7
"dr.r.3","No",269,82.8,76.6,325,26,7.4
"dr.r.3","Unclear",22,6.8,6.3,325,26,7.4
"dr.r.3","Yes",34,10.5,9.7,325,26,7.4
"dr.r.3","Missing/NA",26,NA,7.4,325,26,7.4
"pre.post","post-policy",351,100,100,351,0,0
"year_after_policy","1",40,11.5,11.4,349,2,0.6
"year_after_policy","2",80,22.9,22.8,349,2,0.6
"year_after_policy","3",98,28.1,27.9,349,2,0.6
"year_after_policy","4",93,26.6,26.5,349,2,0.6
"year_after_policy","5",38,10.9,10.8,349,2,0.6
"year_after_policy","Missing/NA",2,NA,0.6,349,2,0.6
"reproducibility_rating","0",53,15.1,15.1,351,0,0
"reproducibility_rating","1",162,46.2,46.2,351,0,0
"reproducibility_rating","2",43,12.3,12.3,351,0,0
"reproducibility_rating","3",4,1.1,1.1,351,0,0
"reproducibility_rating","4",88,25.1,25.1,351,0,0
"reproducibility_rating","5",1,0.3,0.3,351,0,0
